feature,anova_f,anova_p,mutual_info,rank_anova,rank_mi,rank_combined
q_02,64.23503478680168,1.4326508378574006e-14,0.08803705061686129,1.0,1.0,1.0
q_08,52.77337485843717,2.204193760890906e-12,0.08005782267054129,3.0,2.0,2.5
q_25,52.84956931423592,2.130555230521355e-12,0.0768116649351347,2.0,3.0,2.5
q_01,34.504758084764234,9.422031059189274e-09,0.07023241105148093,6.0,4.0,5.0
q_07,22.978942896251993,2.369781475129584e-06,0.05866601829328788,7.0,6.0,6.5
q_24,19.79819315307613,1.1377781328106641e-05,0.04489030516823367,8.0,7.0,7.5
q_05,37.63375223946801,2.1793748765699805e-09,0.032684269093081975,4.0,13.0,8.5
sampling_hz_std,12.07799501549889,0.0005702431916667371,0.03501618154236574,16.0,11.0,13.5
q_26,12.3463705282928,0.0004961153592731899,0.03431157908261184,15.0,12.0,13.5
q_22,12.831178674455298,0.0003860429796727636,0.0315644305723648,14.0,14.0,14.0
q_09,37.167674240257355,2.7079945986432713e-09,0.020820459565135785,5.0,24.0,14.5
q_19,13.33568731566545,0.00029761768622034354,0.02579828544296192,12.0,18.0,15.0
q_28,10.93225060905349,0.0010367772836735113,0.03054991218278391,18.0,15.0,16.5
q_03,2.91146174863073,0.08878448897878202,0.044487258958291864,29.0,8.0,18.5
q_14,15.851213620305877,8.237756709636882e-05,0.01717093709783235,10.0,28.0,19.0
q_10,8.370822961192019,0.0040367546206281765,0.025218693689686322,20.0,19.0,19.5
gyro_mag_std_mean,1.3672203475134128,0.24303671035165456,0.06715545138964218,35.0,5.0,20.0
q_15,13.272280153763457,0.00030749366520069297,0.01798599095671416,13.0,27.0,20.0
sampling_hz_mean,16.064600622959617,7.39387387154441e-05,0.014227056633383306,9.0,31.0,20.0
q_30,7.047788897442477,0.008276280638163488,0.024751113633601385,22.0,20.0,21.0
gyro_mag_std_std,3.045893598606946,0.08176503837801974,0.028439129310161793,28.0,16.0,22.0
height,10.946955815447897,0.0010288161024323067,0.016321385077557204,17.0,29.0,23.0
age,5.675063894752342,0.017708193974722244,0.02094845165500736,25.0,23.0,24.0
acc_mag_range_std,0.6214013116902434,0.4310277171307366,0.04235866271793065,40.0,9.0,24.5
acc_mag_std_std,0.4401986683226623,0.5074364251300469,0.03601498678601933,43.0,10.0,26.5
q_29,7.093540279467997,0.008071530806343388,0.009307983228861616,21.0,34.0,27.5
q_21,10.714426572247516,0.0011623157744533842,0.008065636136669108,19.0,37.0,28.0
weight,4.940575094821529,0.026832238571749878,0.015914976774244805,26.0,30.0,28.0
tremor_band_power_4_6hz_mean,1.3900025401839322,0.2391561707275594,0.021448080707348716,34.0,22.0,28.0
q_11,6.450272694437424,0.011498631273493244,0.0002351872826904522,23.0,39.0,31.0
q_20,4.896782320642572,0.027511706577386115,0.008791837226027832,27.0,35.0,31.0
q_12,15.672535525598883,9.018927187107136e-05,0.0,11.0,56.0,33.5
